i, x, y, z, r, o
5, -0.004005, -0.005133, 0.000000, 0.003086, 0.665146
3, -0.002007, -0.013679, 0.000000, 0.002714, 5.328796
5, 0.008962, -0.000372, 0.000000, 0.003011, 1.078336
4, 0.002454, -0.000662, 0.000000, 0.002924, 4.406802
5, -0.015980, -0.002995, 0.000000, 0.002798, 2.871962
5, 0.003963, -0.008115, 0.000000, 0.002783, 2.792582
4, -0.009928, -0.001537, 0.000000, 0.002776, 1.165358
3, -0.011853, -0.011132, 0.000000, 0.002705, 4.261779
3, 0.007706, -0.014476, 0.000000, 0.002717, 6.044435
5, 0.012416, -0.007110, 0.000000, 0.002762, 4.608483
0, 0.012493, -0.012386, 0.000000, 0.000993, 2.968849
2, 0.001809, -0.014714, 0.000000, 0.000952, 1.177476
2, -0.005925, 0.002615, 0.000000, 0.000910, 3.640217
1, -0.014982, 0.001925, 0.000000, 0.000981, 2.465557
2, -0.002260, -0.009174, 0.000000, 0.000937, 0.769977
2, -0.015716, -0.009974, 0.000000, 0.000960, 5.081171
2, -0.001818, -0.017788, 0.000000, 0.001027, 1.584618
2, -0.003011, 0.001532, 0.000000, 0.000919, 2.793087
0, -0.018076, 0.000860, 0.000000, 0.001031, 6.019503
0, -0.014594, -0.008152, 0.000000, 0.000939, 4.561428
2, -0.007725, -0.010936, 0.000000, 0.001070, 5.462554
1, -0.008837, -0.015620, 0.000000, 0.001064, 2.887524
0, -0.000850, 0.002597, 0.000000, 0.000902, 2.516057
0, 0.002438, -0.012501, 0.000000, 0.000921, 5.510905
0, 0.001265, -0.004688, 0.000000, 0.000961, 0.535032
1, 0.005874, -0.004266, 0.000000, 0.000982, 6.079603
1, 0.007878, -0.006214, 0.000000, 0.000987, 5.884061
1, 0.003341, -0.016466, 0.000000, 0.001076, 2.428965
1, -0.004461, -0.018184, 0.000000, 0.000982, 0.972921
1, -0.012526, -0.006555, 0.000000, 0.001017, 3.821734
2, -0.005952, 0.000270, 0.000000, 0.001076, 4.741725
0, 0.001122, -0.016847, 0.000000, 0.000954, 2.589198
1, 0.014770, -0.011232, 0.000000, 0.001083, 1.827908
2, 0.015760, -0.003734, 0.000000, 0.001086, 2.741919
1, -0.012211, 0.002314, 0.000000, 0.000958, 2.788673
1, -0.009402, -0.006400, 0.000000, 0.000994, 1.168333
0, 0.005656, 0.002779, 0.000000, 0.001080, 2.476636
1, 0.013121, -0.003156, 0.000000, 0.000960, 1.520470
0, -0.006024, -0.014835, 0.000000, 0.000906, 3.257312
0, 0.017079, -0.005876, 0.000000, 0.001033, 5.208533
