i, x, y, z, r, o
7, -0.004005, -0.002481, 0.000000, 0.003086, 3.929089
5, 0.006932, -0.003840, 0.000000, 0.003086, 4.907154
4, -0.008424, 0.004236, 0.000000, 0.002806, 3.625365
5, -0.014774, 0.001880, 0.000000, 0.002999, 3.557400
7, 0.014485, 0.003978, 0.000000, 0.003018, 1.462747
7, -0.007815, -0.008722, 0.000000, 0.002827, 0.355350
7, -0.013833, -0.005613, 0.000000, 0.002894, 1.043050
7, 0.009559, -0.011075, 0.000000, 0.002714, 4.174610
6, -0.004527, -0.015759, 0.000000, 0.003207, 0.375575
5, 0.015726, -0.005239, 0.000000, 0.003210, 4.313980
7, 0.005956, 0.004546, 0.000000, 0.003055, 0.090558
4, 0.004011, -0.013098, 0.000000, 0.002963, 4.814799
4, -0.000779, 0.004562, 0.000000, 0.003087, 1.330338
4, 0.000756, -0.006576, 0.000000, 0.002785, 1.973063
2, -0.015009, -0.010747, 0.000000, 0.000998, 3.462849
2, -0.010617, -0.001905, 0.000000, 0.001072, 3.378876
0, 0.014500, -0.010524, 0.000000, 0.001071, 1.395256
3, -0.010935, -0.012292, 0.000000, 0.000990, 5.940432
2, -0.008619, -0.012912, 0.000000, 0.001072, 2.487063
1, -0.018091, 0.004791, 0.000000, 0.001015, 1.290328
0, 0.000783, -0.017258, 0.000000, 0.000918, 2.697144
2, 0.005770, -0.008933, 0.000000, 0.001099, 6.281864
2, -0.010101, -0.014781, 0.000000, 0.000952, 4.090949
2, 0.018466, 0.002840, 0.000000, 0.000913, 4.023311
2, -0.003199, -0.011281, 0.000000, 0.001073, 0.328380
3, 0.000755, -0.000447, 0.000000, 0.000981, 2.601889
3, 0.011033, 0.006772, 0.000000, 0.001017, 0.065829
3, 0.011252, -0.002199, 0.000000, 0.001051, 2.329371
0, -0.010216, 0.000316, 0.000000, 0.000907, 6.159184
0, -0.012015, 0.006358, 0.000000, 0.001015, 1.432594
0, 0.007301, -0.017045, 0.000000, 0.000985, 0.245694
3, 0.008016, -0.014807, 0.000000, 0.000906, 4.757593
0, -0.008837, -0.003706, 0.000000, 0.001084, 1.995122
2, -0.005147, 0.006746, 0.000000, 0.001050, 2.424265
0, -0.000430, -0.013914, 0.000000, 0.000963, 0.487076
1, 0.010371, 0.001534, 0.000000, 0.000934, 6.191496
2, -0.002809, -0.009093, 0.000000, 0.000916, 2.019433
1, 0.000603, -0.002625, 0.000000, 0.000903, 1.796271
2, -0.016247, 0.006640, 0.000000, 0.001019, 4.588275
2, -0.017345, -0.001913, 0.000000, 0.001095, 2.390026
1, -0.013461, -0.012662, 0.000000, 0.001088, 0.034969
3, 0.010321, -0.006682, 0.000000, 0.001012, 2.231415
0, -0.008085, -0.000752, 0.000000, 0.000997, 2.790317
1, 0.003875, 0.000490, 0.000000, 0.001071, 5.038072
1, -0.018214, -0.004806, 0.000000, 0.000920, 1.157838
0, 0.003570, -0.017789, 0.000000, 0.000909, 0.560634
3, -0.012258, -0.010172, 0.000000, 0.000959, 5.892639
0, -0.003722, -0.006968, 0.000000, 0.000924, 5.383822
2, 0.011748, -0.014592, 0.000000, 0.000988, 1.285183
0, 0.013016, -0.000407, 0.000000, 0.001020, 0.784711
0, -0.000533, -0.011284, 0.000000, 0.000937, 5.503434
1, -0.004747, 0.002158, 0.000000, 0.000918, 4.128464
1, 0.002770, -0.002614, 0.000000, 0.000930, 2.220724
2, 0.013517, -0.012912, 0.000000, 0.001052, 2.011220
1, -0.018744, 0.000060, 0.000000, 0.000909, 2.433096
1, 0.011256, -0.004556, 0.000000, 0.000972, 4.153670
0, 0.008369, 0.000842, 0.000000, 0.000929, 5.117086
1, 0.012655, -0.008438, 0.000000, 0.000988, 1.071563
