i, x, y, z, r, o
0, 0.001153, 0.001153, 0.000000, 0.001000, 0.000000
0, 0.003306, 0.001153, 0.000000, 0.001000, 0.000000
0, 0.005459, 0.001153, 0.000000, 0.001000, 0.000000
0, 0.007612, 0.001153, 0.000000, 0.001000, 0.000000
0, 0.001153, 0.003306, 0.000000, 0.001000, 0.000000
0, 0.003306, 0.003306, 0.000000, 0.001000, 0.000000
0, 0.005459, 0.003306, 0.000000, 0.001000, 0.000000
0, 0.007612, 0.003306, 0.000000, 0.001000, 0.000000
0, 0.001153, 0.005459, 0.000000, 0.001000, 0.000000
0, 0.003306, 0.005459, 0.000000, 0.001000, 0.000000
0, 0.005459, 0.005459, 0.000000, 0.001000, 0.000000
0, 0.007612, 0.005459, 0.000000, 0.001000, 0.000000
